time,pv,cv,sp,kp,ki,kd
217792,10.02,44.39,10.00,45.00,9.91,51.08
218300,10.02,52.31,10.00,45.00,9.91,51.08
218807,10.02,52.50,10.00,45.00,9.91,51.08
219310,10.00,64.28,10.00,45.00,9.91,51.08
219817,10.00,58.49,10.00,45.00,9.91,51.08
220318,10.02,46.91,10.00,45.00,9.91,51.08
220825,10.00,52.46,10.00,45.00,9.91,51.08
221328,10.02,52.37,10.00,45.00,9.91,51.08
221835,10.01,49.40,10.00,45.00,9.91,51.08
222343,10.02,54.60,10.00,45.00,9.91,51.08
222851,10.02,49.18,10.00,45.00,9.91,51.08
223353,10.00,53.02,10.00,45.00,9.91,51.08
223861,9.98,47.78,10.00,45.00,9.91,51.08
224368,9.99,61.17,10.00,45.00,9.91,51.08
224876,9.99,48.41,10.00,45.00,9.91,51.08
225378,9.99,66.59,10.00,45.00,9.91,51.08
225885,10.01,54.96,10.00,45.00,9.91,51.08
226386,10.01,54.88,10.00,45.00,9.91,51.08
226894,10.01,51.93,10.00,45.00,9.91,51.08
227396,10.02,54.22,10.00,45.00,9.91,51.08
227904,10.03,51.15,10.00,45.00,9.91,51.08
228411,10.03,53.65,10.00,45.00,9.91,51.08
228919,10.04,55.43,10.00,45.00,9.91,51.08
229421,10.04,61.74,10.00,45.00,9.91,51.08
229928,10.05,47.30,10.00,45.00,9.91,51.08
230437,10.02,45.70,10.00,45.00,9.91,51.08
230944,10.02,44.88,10.00,45.00,9.91,51.08
231447,9.99,54.20,10.00,45.00,9.91,51.08
231955,9.99,52.06,10.00,45.00,9.91,51.08
232455,9.98,60.62,10.00,45.00,9.91,51.08
232962,9.96,53.25,10.00,45.00,9.91,51.08
233465,9.94,56.86,10.00,45.00,9.91,51.08
233972,9.95,62.68,10.00,45.00,9.91,51.08
234480,9.98,56.66,10.00,45.00,9.91,51.08
234988,9.98,55.55,10.00,45.00,9.91,51.08
235490,9.99,50.79,10.00,45.00,9.91,51.08
235998,9.99,35.89,10.00,45.00,9.91,51.08
236505,10.00,57.86,10.00,45.00,9.91,51.08
237013,10.02,44.30,10.00,45.00,9.91,51.08
237515,10.02,48.86,10.00,45.00,9.91,51.08
238022,10.01,57.22,10.00,45.00,9.91,51.08
238523,10.03,39.73,10.00,45.00,9.91,51.08
239030,10.03,51.16,10.00,45.00,9.91,51.08
239533,10.02,51.05,10.00,45.00,9.91,51.08
240041,10.02,42.98,10.00,45.00,9.91,51.08
240548,10.03,54.01,10.00,45.00,9.91,51.08
241056,10.01,51.76,10.00,45.00,9.91,51.08
241558,10.00,57.54,10.00,45.00,9.91,51.08
242065,10.00,51.75,10.00,45.00,9.91,51.08
242573,9.99,62.83,10.00,45.00,9.91,51.08
243081,9.99,44.01,10.00,45.00,9.91,51.08
243583,10.00,66.04,10.00,45.00,9.91,51.08
244091,9.99,43.63,10.00,45.00,9.91,51.08
244591,9.99,55.24,10.00,45.00,9.91,51.08
245099,10.00,55.30,10.00,45.00,9.91,51.08
245602,9.99,55.83,10.00,45.00,9.91,51.08
246109,9.99,47.45,10.00,45.00,9.91,51.08
246617,10.00,58.41,10.00,45.00,9.91,51.08
247125,9.99,46.87,10.00,45.00,9.91,51.08
247627,10.00,69.11,10.00,45.00,9.91,51.08
248135,10.00,63.31,10.00,45.00,9.91,51.08
248642,9.99,58.27,10.00,45.00,9.91,51.08
249150,10.00,52.72,10.00,45.00,9.91,51.08
249652,10.00,66.99,10.00,45.00,9.91,51.08
250160,10.00,44.61,10.00,45.00,9.91,51.08
250660,9.98,55.29,10.00,45.00,9.91,51.08
251168,10.00,52.92,10.00,45.00,9.91,51.08
251670,10.02,52.21,10.00,45.00,9.91,51.08
252178,10.00,49.28,10.00,45.00,9.91,51.08
252685,10.00,57.71,10.00,45.00,9.91,51.08
253193,10.01,43.67,10.00,45.00,9.91,51.08
253696,10.05,51.08,10.00,45.00,9.91,51.08
254203,10.02,67.35,10.00,45.00,9.91,51.08
254711,10.03,53.45,10.00,45.00,9.91,51.08
255219,10.01,47.76,10.00,45.00,9.91,51.08
255721,10.02,54.19,10.00,45.00,9.91,51.08
256229,10.00,66.00,10.00,45.00,9.91,51.08
256729,9.99,55.16,10.00,45.00,9.91,51.08
257236,9.98,52.07,10.00,45.00,9.91,51.08
257739,9.98,48.05,10.00,45.00,9.91,51.08
258246,9.98,55.89,10.00,45.00,9.91,51.08
258754,10.00,52.60,10.00,45.00,9.91,51.08
259261,10.00,46.08,10.00,45.00,9.91,51.08
259764,10.01,52.10,10.00,45.00,9.91,51.08
260272,10.00,51.65,10.00,45.00,9.91,51.08
260780,10.00,57.40,10.00,45.00,9.91,51.08
261287,9.99,46.55,10.00,45.00,9.91,51.08
261790,10.00,57.38,10.00,45.00,9.91,51.08
262297,10.01,51.27,10.00,45.00,9.91,51.08
262804,10.02,42.73,10.00,45.00,9.91,51.08
263311,10.01,59.04,10.00,45.00,9.91,51.08
263814,10.04,50.76,10.00,45.00,9.91,51.08
264321,10.02,50.38,10.00,45.00,9.91,51.08
264829,10.04,52.43,10.00,45.00,9.91,51.08
265336,10.03,31.05,10.00,45.00,9.91,51.08
265839,10.01,46.60,10.00,45.00,9.91,51.08
266346,10.02,39.24,10.00,45.00,9.91,51.08
266854,10.01,52.65,10.00,45.00,9.91,51.08
267361,10.01,67.29,10.00,45.00,9.91,51.08
267864,10.02,53.26,10.00,45.00,9.91,51.08
268371,10.01,48.16,10.00,45.00,9.91,51.08
268872,10.00,48.41,10.00,45.00,9.91,51.08
269379,9.98,51.34,10.00,45.00,9.91,51.08
269882,9.99,65.85,10.00,45.00,9.91,51.08
270389,9.98,65.91,10.00,45.00,9.91,51.08
270897,9.97,49.64,10.00,45.00,9.91,51.08
271405,9.97,55.81,10.00,45.00,9.91,51.08
271907,9.97,64.19,10.00,45.00,9.91,51.08
272415,9.97,53.25,10.00,45.00,9.91,51.08
272922,9.97,64.05,10.00,45.00,9.91,51.08
273430,9.98,55.41,10.00,45.00,9.91,51.08
273932,9.99,63.67,10.00,45.00,9.91,51.08
274439,10.00,61.32,10.00,45.00,9.91,51.08
274940,10.01,52.71,10.00,45.00,9.91,51.08
275448,10.00,51.79,10.00,45.00,9.91,51.08
275950,10.00,60.94,10.00,45.00,9.91,51.08
276457,9.98,58.57,10.00,45.00,9.91,51.08
276965,9.97,53.61,10.00,45.00,9.91,51.08
