time,pv,cv,sp,kp,ki,kd
177404,10.02,55.05,10.00,45.00,9.91,51.08
177912,10.03,57.09,10.00,45.00,9.91,51.08
178419,10.02,49.18,10.00,45.00,9.91,51.08
178928,10.02,50.04,10.00,45.00,9.91,51.08
179435,9.98,64.77,10.00,45.00,9.91,51.08
179942,10.01,47.41,10.00,45.00,9.91,51.08
180449,9.97,53.48,10.00,45.00,9.91,51.08
180956,9.95,69.04,10.00,45.00,9.91,51.08
181463,9.97,60.53,10.00,45.00,9.91,51.08
181971,9.93,51.37,10.00,45.00,9.91,51.08
182478,9.94,61.80,10.00,45.00,9.91,51.08
182985,9.96,56.21,10.00,45.00,9.91,51.08
183492,10.00,57.56,10.00,45.00,9.91,51.08
184000,9.99,48.19,10.00,45.00,9.91,51.08
184507,10.02,36.77,10.00,45.00,9.91,51.08
185016,10.05,35.69,10.00,45.00,9.91,51.08
185523,10.06,45.18,10.00,45.00,9.91,51.08
186030,10.05,51.71,10.00,45.00,9.91,51.08
186538,10.06,56.49,10.00,45.00,9.91,51.08
187045,10.03,56.22,10.00,45.00,9.91,51.08
187552,10.06,39.54,10.00,45.00,9.91,51.08
188059,10.04,53.61,10.00,45.00,9.91,51.08
188567,10.01,59.96,10.00,45.00,9.91,51.08
189074,10.00,43.69,10.00,45.00,9.91,51.08
189582,10.02,51.83,10.00,45.00,9.91,51.08
190089,10.03,45.65,10.00,45.00,9.91,51.08
190596,10.03,51.09,10.00,45.00,9.91,51.08
191096,10.01,48.85,10.00,45.00,9.91,51.08
191603,9.99,71.20,10.00,45.00,9.91,51.08
192111,10.00,55.04,10.00,45.00,9.91,51.08
192618,9.94,65.51,10.00,45.00,9.91,51.08
193126,9.95,57.02,10.00,45.00,9.91,51.08
193633,9.94,52.22,10.00,45.00,9.91,51.08
194141,9.95,57.05,10.00,45.00,9.91,51.08
194648,10.02,44.09,10.00,45.00,9.91,51.08
195155,10.01,78.51,10.00,45.00,9.91,51.08
195662,10.05,50.55,10.00,45.00,9.91,51.08
196169,10.05,61.37,10.00,45.00,9.91,51.08
196677,10.02,42.55,10.00,45.00,9.91,51.08
197177,10.03,45.86,10.00,45.00,9.91,51.08
197685,9.98,66.62,10.00,45.00,9.91,51.08
198191,9.93,75.02,10.00,45.00,9.91,51.08
198699,9.92,53.40,10.00,45.00,9.91,51.08
199206,9.92,67.04,10.00,45.00,9.91,51.08
199714,9.94,61.51,10.00,45.00,9.91,51.08
200221,9.93,39.35,10.00,45.00,9.91,51.08
200728,10.00,53.79,10.00,45.00,9.91,51.08
201235,10.03,46.50,10.00,45.00,9.91,51.08
201743,10.03,49.48,10.00,45.00,9.91,51.08
202250,10.03,48.12,10.00,45.00,9.91,51.08
202757,10.05,47.63,10.00,45.00,9.91,51.08
203258,10.05,39.88,10.00,45.00,9.91,51.08
203765,10.06,67.67,10.00,45.00,9.91,51.08
204273,10.02,82.06,10.00,45.00,9.91,51.08
204780,9.99,64.37,10.00,45.00,9.91,51.08
205287,9.97,64.94,10.00,45.00,9.91,51.08
205794,9.98,68.24,10.00,45.00,9.91,51.08
206301,9.96,62.60,10.00,45.00,9.91,51.08
206808,9.97,68.29,10.00,45.00,9.91,51.08
207315,9.98,55.16,10.00,45.00,9.91,51.08
207822,9.94,51.46,10.00,45.00,9.91,51.08
208329,10.00,45.78,10.00,45.00,9.91,51.08
208836,9.94,64.29,10.00,45.00,9.91,51.08
209340,9.92,53.91,10.00,45.00,9.91,51.08
209847,9.95,51.86,10.00,45.00,9.91,51.08
210354,9.97,42.71,10.00,45.00,9.91,51.08
210862,9.98,52.99,10.00,45.00,9.91,51.08
211369,10.01,54.28,10.00,45.00,9.91,51.08
211876,10.02,48.69,10.00,45.00,9.91,51.08
212382,10.02,67.71,10.00,45.00,9.91,51.08
212889,10.02,55.77,10.00,45.00,9.91,51.08
213397,10.02,49.80,10.00,45.00,9.91,51.08
213904,10.04,59.99,10.00,45.00,9.91,51.08
214411,10.06,45.53,10.00,45.00,9.91,51.08
214918,10.06,37.03,10.00,45.00,9.91,51.08
215418,10.06,56.11,10.00,45.00,9.91,51.08
215925,10.05,47.33,10.00,45.00,9.91,51.08
216432,10.05,44.46,10.00,45.00,9.91,51.08
216940,10.06,48.96,10.00,45.00,9.91,51.08
217447,10.04,50.40,10.00,45.00,9.91,51.08
217954,10.05,69.28,10.00,45.00,9.91,51.08
218462,10.01,59.47,10.00,45.00,9.91,51.08
218969,9.99,45.89,10.00,45.00,9.91,51.08
219477,10.00,74.66,10.00,45.00,9.91,51.08
219985,10.01,40.62,10.00,45.00,9.91,51.08
220492,9.98,47.39,10.00,45.00,9.91,51.08
220999,9.97,45.35,10.00,45.00,9.91,51.08
221508,9.95,56.63,10.00,45.00,9.91,51.08
222016,9.97,59.72,10.00,45.00,9.91,51.08
222524,9.97,56.99,10.00,45.00,9.91,51.08
223031,9.98,61.72,10.00,45.00,9.91,51.08
223538,10.01,44.34,10.00,45.00,9.91,51.08
224045,10.02,51.57,10.00,45.00,9.91,51.08
224552,10.02,47.18,10.00,45.00,9.91,51.08
225059,9.99,63.32,10.00,45.00,9.91,51.08
225566,10.03,38.41,10.00,45.00,9.91,51.08
226074,9.97,72.71,10.00,45.00,9.91,51.08
226581,9.99,54.20,10.00,45.00,9.91,51.08
227089,9.94,46.45,10.00,45.00,9.91,51.08
227589,9.94,35.82,10.00,45.00,9.91,51.08
228096,10.01,62.32,10.00,45.00,9.91,51.08
228604,10.00,64.79,10.00,45.00,9.91,51.08
229111,9.99,54.26,10.00,45.00,9.91,51.08
229619,10.01,51.95,10.00,45.00,9.91,51.08
230125,9.95,48.68,10.00,45.00,9.91,51.08
230633,9.98,57.48,10.00,45.00,9.91,51.08
