time,pv,cv,sp,kp
766022,50.15,0.0,50.0,150.0
766545,50.08,0.0,50.0,150.0
767068,49.98,2.28,50.0,150.0
767591,49.85,22.6,50.0,150.0
768114,49.79,31.97,50.0,150.0
768637,49.66,50.72,50.0,150.0
769167,49.55,67.13,50.0,150.0
769689,49.44,83.53,50.0,150.0
770212,49.35,96.82,50.0,150.0
770735,49.28,100.0,50.0,150.0
771259,49.22,100.0,50.0,150.0
771781,49.16,100.0,50.0,150.0
772304,49.35,97.6,50.0,150.0
772827,49.58,63.22,50.0,150.0
773350,49.85,21.81,50.0,150.0
773873,50.03,0.0,50.0,150.0
774395,50.15,0.0,50.0,150.0
774919,50.22,0.0,50.0,150.0
775441,50.16,0.0,50.0,150.0
775964,50.1,0.0,50.0,150.0
776487,50.03,0.0,50.0,150.0
777013,49.88,17.91,50.0,150.0
777536,49.74,39.0,50.0,150.0
778059,49.67,49.94,50.0,150.0
778581,49.56,65.56,50.0,150.0
779104,49.47,79.63,50.0,150.0
779627,49.35,97.6,50.0,150.0
780150,49.27,100.0,50.0,150.0
780673,49.17,100.0,50.0,150.0
781196,49.13,100.0,50.0,150.0
781718,49.33,100.0,50.0,150.0
782242,49.52,71.82,50.0,150.0
782765,49.73,40.56,50.0,150.0
783288,49.93,10.88,50.0,150.0
783811,50.07,0.0,50.0,150.0
784334,50.13,0.0,50.0,150.0
784857,50.14,0.0,50.0,150.0
785382,50.08,0.0,50.0,150.0
785905,49.98,2.28,50.0,150.0
786428,49.88,17.91,50.0,150.0
786951,49.77,34.31,50.0,150.0
787474,49.62,56.97,50.0,150.0
787997,49.59,60.88,50.0,150.0
788520,49.46,80.41,50.0,150.0
789043,49.39,91.35,50.0,150.0
789566,49.26,100.0,50.0,150.0
790089,49.15,100.0,50.0,150.0
790612,49.13,100.0,50.0,150.0
791135,49.18,100.0,50.0,150.0
791657,49.33,99.94,50.0,150.0
792180,49.57,64.0,50.0,150.0
792703,49.87,19.47,50.0,150.0
793228,50.11,0.0,50.0,150.0
793751,50.21,0.0,50.0,150.0
794274,50.29,0.0,50.0,150.0
794796,50.33,0.0,50.0,150.0
795319,50.25,0.0,50.0,150.0
795841,50.18,0.0,50.0,150.0
796365,50.04,0.0,50.0,150.0
796887,49.91,13.22,50.0,150.0
797410,49.84,24.16,50.0,150.0
797933,49.73,40.56,50.0,150.0
798456,49.58,62.44,50.0,150.0
798979,49.48,78.06,50.0,150.0
799502,49.37,94.47,50.0,150.0
800025,49.3,100.0,50.0,150.0
800548,49.23,100.0,50.0,150.0
801071,49.18,100.0,50.0,150.0
801596,49.25,100.0,50.0,150.0
802118,49.46,81.19,50.0,150.0
802641,49.67,49.94,50.0,150.0
803164,49.84,23.38,50.0,150.0
803687,49.98,3.06,50.0,150.0
804209,50.02,0.0,50.0,150.0
804733,50.04,0.0,50.0,150.0
805255,49.96,6.19,50.0,150.0
805778,49.84,24.16,50.0,150.0
806300,49.72,42.13,50.0,150.0
806824,49.6,60.1,50.0,150.0
807346,49.55,67.91,50.0,150.0
807869,49.46,81.19,50.0,150.0
808392,49.36,95.25,50.0,150.0
808914,49.28,100.0,50.0,150.0
809439,49.19,100.0,50.0,150.0
809962,49.27,100.0,50.0,150.0
