time,pv,cv,sp,kp,ki,kd
350,10.0002,42.84521,10,45,9.91,51.08
351,9.974201,44.24059,10,45,9.91,51.08
352,9.989799,57.54426,10,45,9.91,51.08
353,9.969002,58.56997,10,45,9.91,51.08
354,9.9846,55.7928,10,45,9.91,51.08
355,9.969002,45.44647,10,45,9.91,51.08
356,9.969002,48.42329,10,45,9.91,51.08
357,9.989799,53.91193,10,45,9.91,51.08
358,9.989799,53.04679,10,45,9.91,51.08
359,9.994999,55.72642,10,45,9.91,51.08
360,10.0106,38.84861,10,45,9.91,51.08
361,10.0262,52.07738,10,45,9.91,51.08
362,10.0418,58.98122,10,45,9.91,51.08
363,10.0678,39.11265,10,45,9.91,51.08
364,10.0522,47.44197,10,45,9.91,51.08
365,10.047,57.55049,10,45,9.91,51.08
366,10.0262,60.7342,10,45,9.91,51.08
367,10.021,48.08158,10,45,9.91,51.08
368,9.9846,59.89533,10,45,9.91,51.08
369,9.979401,68.37171,10,45,9.91,51.08
370,9.963802,52.73972,10,45,9.91,51.08
371,9.979401,49.46339,10,45,9.91,51.08
372,9.994999,55.08617,10,45,9.91,51.08
373,10.0002,57.03886,10,45,9.91,51.08
374,10.0106,54.62739,10,45,9.91,51.08
375,10.0366,33.5706,10,45,9.91,51.08
376,10.0366,52.41684,10,45,9.91,51.08
377,10.0262,50.10178,10,45,9.91,51.08
378,10.0106,44.68354,10,45,9.91,51.08
379,10.0054,53.54243,10,45,9.91,51.08
380,9.979401,71.63136,10,45,9.91,51.08
381,9.974201,57.75018,10,45,9.91,51.08
382,9.969002,57.36333,10,45,9.91,51.08
383,9.974201,60.6077,10,45,9.91,51.08
384,9.963802,47.2121,10,45,9.91,51.08
385,9.963802,43.04734,10,45,9.91,51.08
386,9.969002,53.667,10,45,9.91,51.08
387,9.963802,51.73223,10,45,9.91,51.08
388,9.9846,59.36513,10,45,9.91,51.08
389,9.969002,51.35835,10,45,9.91,51.08
390,9.979401,57.05292,10,45,9.91,51.08
391,9.9846,43.06569,10,45,9.91,51.08
392,9.989799,53.41948,10,45,9.91,51.08
393,9.989799,53.98434,10,45,9.91,51.08
394,10.021,68.44951,10,45,9.91,51.08
395,10.0158,60.11096,10,45,9.91,51.08
396,10.047,42.57249,10,45,9.91,51.08
397,10.0574,41.85773,10,45,9.91,51.08
398,10.0418,41.81655,10,45,9.91,51.08
399,10.0418,52.55973,10,45,9.91,51.08
400,10.047,57.36792,10,45,9.91,51.08
401,10.0366,58.63671,10,45,9.91,51.08
402,9.9846,67.8831,10,45,9.91,51.08
403,10.0054,45.49503,10,45,9.91,51.08
404,9.927402,60.89388,10,45,9.91,51.08
405,9.9482,59.24682,10,45,9.91,51.08
406,9.989799,64.27708,10,45,9.91,51.08
407,10.0002,52.34481,10,45,9.91,51.08
408,10.0314,42.57982,10,45,9.91,51.08
409,10.021,58.64705,10,45,9.91,51.08
410,10.0418,46.6591,10,45,9.91,51.08
411,10.047,47.14195,10,45,9.91,51.08
412,10.047,58.56874,10,45,9.91,51.08
413,10.0002,46.80959,10,45,9.91,51.08
414,9.974201,62.69128,10,45,9.91,51.08
415,10.0054,51.14642,10,45,9.91,51.08
416,9.9846,56.99216,10,45,9.91,51.08
417,10.0002,36.76638,10,45,9.91,51.08
418,9.979401,54.58429,10,45,9.91,51.08
419,9.989799,62.60953,10,45,9.91,51.08
420,9.974201,65.57578,10,45,9.91,51.08
421,9.979401,49.53608,10,45,9.91,51.08
422,9.9534,58.85531,10,45,9.91,51.08
